place,count,amount,users,category,lat,lng,address,place_url,subtype
플라세르,3,161500,부의장/의장,카페,37.4299800093111,126.990582766574,경기 과천시 관문로 92,http://place.map.kakao.com/500131959,카페
브레쉬에비뉴,3,116300,부의장/의장,음식점,37.429239932213726,126.99205728862847,경기 과천시 새술막길 39,http://place.map.kakao.com/342175100,한식
유니케,3,70600,의장/의회사무과장,카페,37.429944892692596,126.99087652976631,경기 과천시 관문로 92,http://place.map.kakao.com/1411510523,카페
원아우어,3,67900,의회사무과장,카페,37.43014220163043,126.99070025008224,경기 과천시 관문로 92,http://place.map.kakao.com/763090659,카페
금문원,2,514000,의장,음식점,37.4151659718818,126.978049799151,경기 과천시 과천대로7나길 9,https://place.map.kakao.com/1776377680,한식
남태령숯불구이,2,425300,의장,음식점,37.4482060746397,126.996561056738,경기 과천시 중앙로 379,http://place.map.kakao.com/873531167,한식
더호,2,352500,부의장,음식점,37.41761695731,126.976356293928,경기 과천시 과천대로7나길 48,http://place.map.kakao.com/1793247297,한식
좋구먼,2,352000,부의장/의장,음식점,37.456407637902785,127.00986699072817,경기 과천시 중앙로 531,http://place.map.kakao.com/26408537,한식
경마장오리집,2,346000,의장/의회사무과장,음식점,37.4410903504964,127.010450323855,경기 과천시 궁말로 20-4,http://place.map.kakao.com/8188893,한식
삼등집,2,339000,의장,음식점,37.4141602628309,126.979091023052,경기 과천시 과천대로7길 20,http://place.map.kakao.com/1922168267,한식
목포명가 과천점,2,317000,의회사무과장,음식점,37.4481643043666,127.009398040169,경기 과천시 광창로 36,http://place.map.kakao.com/619286225,한식
한상차림 코다리명가,2,315000,의장,음식점,37.4500180634266,126.99977849190367,경기 과천시 중앙로 414,http://place.map.kakao.com/1364052539,한식
대가,2,284000,부의장/의장,음식점,37.42841875872901,126.99378599780951,경기 과천시 별양상가1로 37,http://place.map.kakao.com/94722819,한식
해논미역,2,277000,의장,음식점,37.4247409681218,126.999488217218,경기 과천시 아랫배랭이로 67,http://place.map.kakao.com/1012612128,한식
프랑스빵선생,2,253400,부의장/의장,카페,37.4488665462071,126.997734097319,경기 과천시 과천동 522-49,http://place.map.kakao.com/1385150531,베이커리
포코코 쌀국수,2,250050,부의장,음식점,37.4268274912985,126.992555782938,경기 과천시 별양상가2로 20,http://place.map.kakao.com/1513374512,아시안
춘향골남원추어탕,2,235750,의장/의회사무과장,음식점,37.478909892321916,126.95158524648024,서울 관악구 쑥고개로 135,http://place.map.kakao.com/16300717,한식
서해숯불민물장어,2,235000,의회사무과장,음식점,37.44216086882134,127.00908992243596,경기 과천시 궁말로 28,http://place.map.kakao.com/1419717948,한식
채선당,2,234000,의장,음식점,37.392534287919226,126.95697444112609,경기 안양시 동안구 시민대로 230,http://place.map.kakao.com/25702299,한식
과천갈비,2,216250,부의장,음식점,37.447339307783295,126.99687526506196,경기 과천시 향나무로 5,http://place.map.kakao.com/7900833,한식
뉴동키치킨,2,209000,의회사무과장,음식점,37.4244751958748,126.993978608765,경기 과천시 별양로 64 1층 102호,https://place.map.kakao.com/8280272,한식
마이알레,2,204000,부의장/의장,카페,37.4466025961344,127.023948908853,경기 과천시 삼부골3로 17,http://place.map.kakao.com/23754223,카페
K.ONE,2,196500,부의장,카페,37.45164439253487,127.00041364142078,경기 과천시 중앙로 429,http://place.map.kakao.com/384754782,카페
양의정,2,190600,의장,음식점,37.42953494211804,126.99103475646675,경기 과천시 관문로 92,http://place.map.kakao.com/119639315,한식
빵공원,2,186400,의장,음식점,37.4522093271896,127.000598993448,경기 과천시 중앙로 437,http://place.map.kakao.com/1411192153,베이커리
맛찬들,2,160000,부의장/의장,음식점,37.4297943766334,126.990295810658,경기 과천시 관문로 92,http://place.map.kakao.com/1149902426,한식
마산해물찜,2,147450,의장,음식점,37.4275392910036,126.992493573165,경기 과천시 별양상가1로 18,http://place.map.kakao.com/10353310,한식
케빈부대찌개,2,146900,부의장/의회사무과장,음식점,37.4288051696904,126.991738724085,경기 과천시 중앙로 137,http://place.map.kakao.com/1829197220,한식
월미당,2,141950,부의장,음식점,37.42957096965207,126.99086301711455,경기 과천시 관문로 92,http://place.map.kakao.com/1946806097,한식
어니스트 포케,2,127400,부의장,음식점,37.4297943766334,126.990295810658,경기 과천시 관문로 92,http://place.map.kakao.com/561720526,양식
카페언트,2,118500,부의장/의장,카페,37.454128180583226,126.99148955494304,경기 과천시 남태령옛길 97,http://place.map.kakao.com/486013342,카페
뮤지엄카페,2,117650,부의장/의장,카페,37.4115851016042,126.995271637939,경기 과천시 샘터길 51,http://place.map.kakao.com/380809427,카페
라온식탁,2,106700,부의장,음식점,37.429771830917794,126.99005176836394,경기 과천시 관문로 92,http://place.map.kakao.com/1193754757,한식
카페디,2,85900,의회사무과장,카페,37.448442590295535,127.01088305219328,경기 과천시 광창로 50,http://place.map.kakao.com/1264935380,카페
봉평메밀막국수,2,75000,의회사무과장,음식점,37.41637489973828,126.9845013716331,경기 과천시 과천대로 163,http://place.map.kakao.com/1198829843,한식
텐퍼센트커피,2,51500,의회사무과장,카페,37.4261110518345,126.990709786981,경기 과천시 별양상가3로 8,http://place.map.kakao.com/496881160,카페
카페모나,2,50500,의회사무과장,카페,37.4330066942014,126.993038762895,경기 과천시 관문로 130,http://place.map.kakao.com/1799025932,카페
관문베이커리카페,2,16700,부의장/의회사무과장,카페,37.4407122068964,126.993491180519,경기 과천시 중앙로 293-1,http://place.map.kakao.com/484184627,베이커리
해봉농원,1,1242000,의장,기타,,,,,기타
맛찬들왕소금구이,1,455000,의회사무과장,음식점,37.4297943766334,126.990295810658,경기 과천시 관문로 92,http://place.map.kakao.com/1149902426,한식
이화향,1,411000,의장,음식점,37.4141602628309,126.979091023052,경기 과천시 과천대로7길 20,http://place.map.kakao.com/1992922208,한식
빌리언박스,1,345000,의장,음식점,,,,,한식
개군양평해장국,1,319000,의장,음식점,37.454454650011,127.000940334804,경기 과천시 뒷골로 22-11,http://place.map.kakao.com/1316338070,한식
더맑음,1,310000,부의장,음식점,37.4297943766252,126.990295810658,경기 과천시 관문로 92,http://place.map.kakao.com/1108607839,한식
강남밥상앤맥주광장,1,258000,의장,미확인,,,,,기타
마당놀이화로구이,1,250000,의회사무과장,음식점,37.44815740927701,126.99621411355109,경기 과천시 중앙로 373,http://place.map.kakao.com/24287798,한식
